"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.05.2020","4.380,64","4.330,80","4.383,23","4.330,38","143,97M","1,77%"
"27.05.2020","4.304,54","4.316,08","4.344,30","4.276,14","177,52M","0,12%"
"26.05.2020","4.299,31","4.329,38","4.334,78","4.277,78","121,63M","0,52%"
"25.05.2020","4.276,97","4.257,31","4.290,34","4.257,31","56,47M","0,84%"
"22.05.2020","4.241,25","4.181,91","4.256,93","4.166,68","100,97M","0,62%"
"21.05.2020","4.214,95","4.171,47","4.241,69","4.160,86","121,58M","-0,20%"
"20.05.2020","4.223,33","4.156,55","4.223,33","4.145,20","108,51M","1,00%"
"19.05.2020","4.181,55","4.219,56","4.219,56","4.164,93","122,30M","0,03%"
"18.05.2020","4.180,22","4.064,25","4.181,13","4.064,25","97,49M","4,62%"
"15.05.2020","3.995,72","3.997,42","4.042,63","3.976,27","83,52M","0,94%"
"14.05.2020","3.958,57","4.046,77","4.050,38","3.909,68","123,60M","-2,91%"
"13.05.2020","4.077,15","4.085,05","4.133,54","4.072,16","105,75M","-1,81%"
"12.05.2020","4.152,15","4.168,32","4.189,66","4.146,68","68,47M","-1,37%"
"11.05.2020","4.209,83","4.241,84","4.251,23","4.194,84","74,04M","-0,67%"
"08.05.2020","4.238,40","4.265,48","4.277,95","4.230,52","54,47M","0,42%"
"07.05.2020","4.220,85","4.183,39","4.235,82","4.180,46","67,65M","0,85%"
"06.05.2020","4.185,10","4.216,82","4.234,92","4.179,89","75,90M","-0,87%"
"05.05.2020","4.222,02","4.235,23","4.261,77","4.196,89","101,45M","0,84%"
"04.05.2020","4.186,69","4.206,46","4.218,56","4.149,86","93,74M","-2,28%"
"30.04.2020","4.284,18","4.342,77","4.356,42","4.265,73","165,10M","-0,62%"
"29.04.2020","4.310,88","4.234,25","4.313,05","4.220,60","129,30M","2,30%"
"28.04.2020","4.213,76","4.121,68","4.228,95","4.105,98","99,33M","1,87%"
"27.04.2020","4.136,58","4.147,18","4.162,51","4.103,42","66,71M","0,59%"
"24.04.2020","4.112,48","4.118,79","4.136,10","4.069,59","89,03M","-0,88%"
"23.04.2020","4.148,91","4.131,25","4.162,86","4.117,64","85,59M","1,18%"
"22.04.2020","4.100,59","4.036,83","4.100,59","4.033,42","61,34M","1,60%"
"21.04.2020","4.035,94","4.097,68","4.100,90","4.035,94","84,66M","-2,27%"
"20.04.2020","4.129,50","4.158,40","4.171,74","4.073,33","75,35M","-1,02%"
"17.04.2020","4.172,21","4.186,78","4.197,34","4.150,49","95,00M","1,59%"
"16.04.2020","4.106,81","4.166,55","4.167,29","4.088,07","115,22M","-0,75%"
"09.04.2020","4.196,31","4.109,58","4.215,34","4.109,58","138,77M","3,07%"
"08.04.2020","4.071,37","4.057,24","4.071,37","4.023,52","106,67M","0,05%"
"07.04.2020","4.069,46","4.094,35","4.178,21","4.032,04","184,31M","1,27%"
"06.04.2020","4.018,62","4.028,57","4.044,47","3.971,94","119,24M","1,16%"
"30.03.2020","3.983,24","3.932,07","3.983,86","3.848,45","83,30M","1,02%"
